# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-T" "4" "-t" "gene" "-g" "gene" "-a" "/data/behringer_lab/Ref_Genome/E_coli/E_coli.gtf" "-o" "SRA_FimA_Counts.txt" "Sample_SRR8335000.sorted.bam" "Sample_SRR8335002.sorted.bam" "Sample_SRR8335003.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Sample_SRR8335000.sorted.bam	Sample_SRR8335002.sorted.bam	Sample_SRR8335003.sorted.bam
uspB	NC_000913.3	3639385	3639720	-	336	2700	2811	906
uspA	NC_000913.3	3640111	3640545	+	435	1989	1848	1023
yriA	NC_000913.3	3640612	3640686	-	75	3	1	0
yriB	NC_000913.3	3640643	3640696	-	54	0	0	0
dtpB	NC_000913.3	3640862	3642331	+	1470	1377	1701	483
rsmJ	NC_000913.3	3642380	3643132	-	753	782	1035	382
prlC	NC_000913.3	3643140	3645182	-	2043	5633	7957	1788
rlmJ	NC_000913.3	3645385	3646227	+	843	880	861	454
gor	NC_000913.3	3646299	3647651	+	1353	2461	2123	1011
dinQ	NC_000913.3	3647705	3647788	-	84	237	336	644
agrA	NC_000913.3	3648063	3648144	+	82	81	41	25
agrB	NC_000913.3	3648294	3648375	+	82	54	24	3
arsR	NC_000913.3	3648528	3648881	+	354	89	50	59
arsB	NC_000913.3	3648935	3650224	+	1290	706	342	77
arsC	NC_000913.3	3650237	3650662	+	426	321	215	44
yhiS	NC_000913.3	3651291	3653713	+	2423	149	98	27
insH11	NC_000913.3	3652182	3653162	-	981	0	0	0
slp	NC_000913.3	3653961	3654527	+	567	960	184	360
dctR	NC_000913.3	3654683	3655213	+	531	160	82	53
yhiD	NC_000913.3	3655255	3655902	-	648	228	121	70
hdeB	NC_000913.3	3655966	3656292	-	327	427	171	112
hdeA	NC_000913.3	3656408	3656740	-	333	869	350	553
hdeD	NC_000913.3	3656995	3657567	+	573	344	171	67
arrS	NC_000913.3	3657985	3658054	-	70	462	97	101
gadE	NC_000913.3	3658366	3658893	+	528	1739	266	77
gadF	NC_000913.3	3658992	3659082	+	91	89	42	15
mdtE	NC_000913.3	3659232	3660389	+	1158	471	219	88
mdtF	NC_000913.3	3660414	3663527	+	3114	1629	750	421
gadW	NC_000913.3	3663890	3664618	-	729	2376	1211	331
gadY	NC_000913.3	3664864	3664969	+	106	647	337	55
gadX	NC_000913.3	3664986	3665810	-	825	3852	1990	710
gadA	NC_000913.3	3666180	3667580	-	1401	1269	508	520
ccp	NC_000913.3	3667791	3669188	-	1398	596	316	95
treF	NC_000913.3	3669592	3671241	+	1650	1104	1025	1201
yhjB	NC_000913.3	3671292	3671894	-	603	395	229	135
rcdB	NC_000913.3	3672414	3673313	+	900	480	293	92
yhjD	NC_000913.3	3673362	3674375	+	1014	2515	2332	427
yhjE	NC_000913.3	3674786	3676108	+	1323	759	774	1085
yhjG	NC_000913.3	3676290	3678350	-	2061	2723	2470	422
pdeH	NC_000913.3	3678420	3679187	-	768	402	155	30
kdgK	NC_000913.3	3679419	3680348	+	930	568	353	225
yhjJ	NC_000913.3	3680444	3681940	-	1497	848	1037	490
dctA	NC_000913.3	3682161	3683447	-	1287	2707	4172	210
pdeK	NC_000913.3	3683630	3685618	-	1989	1345	1030	354
bcsC	NC_000913.3	3685700	3689173	-	3474	1574	1137	707
bcsZ	NC_000913.3	3689155	3690261	-	1107	502	219	52
bcsB	NC_000913.3	3690268	3692607	-	2340	927	436	135
bcsA	NC_000913.3	3692618	3695236	-	2619	1200	520	189
bcsQ	NC_000913.3	3695233	3695985	-	753	282	221	81
yhjR	NC_000913.3	3695997	3696185	-	189	394	574	77
bcsE	NC_000913.3	3696458	3698029	+	1572	1943	2261	915
bcsF	NC_000913.3	3698026	3698217	+	192	84	58	37
bcsG	NC_000913.3	3698214	3699893	+	1680	1152	959	267
ldrD	NC_000913.3	3699980	3700087	-	108	118	159	104
rdlD	NC_000913.3	3700136	3700199	+	64	105	96	66
yhjV	NC_000913.3	3700563	3701834	+	1272	594	287	111
dppF	NC_000913.3	3701864	3702868	-	1005	570	380	135
dppD	NC_000913.3	3702865	3703848	-	984	536	364	115
dppC	NC_000913.3	3703859	3704761	-	903	408	333	116
dppB	NC_000913.3	3704771	3705790	-	1020	537	396	104
dppA	NC_000913.3	3706098	3707705	-	1608	4293	6226	826
proK	NC_000913.3	3708616	3708692	-	77	47	29	1
eptB	NC_000913.3	3708784	3710475	-	1692	980	1172	208
yhjX	NC_000913.3	3710799	3712007	-	1209	788	380	119
yhjY	NC_000913.3	3712236	3712934	-	699	1207	1378	574
tag	NC_000913.3	3713092	3713655	+	564	563	452	370
yiaC	NC_000913.3	3713652	3714092	+	441	285	181	280
bisC	NC_000913.3	3714061	3716394	-	2334	1094	620	445
yiaD	NC_000913.3	3716547	3717206	+	660	340	153	62
ghrB	NC_000913.3	3717310	3718284	+	975	556	313	201
yiaF	NC_000913.3	3718334	3719044	-	711	1012	1468	398
yiaG	NC_000913.3	3719478	3719768	+	291	3420	4333	373
cspA	NC_000913.3	3720049	3720261	+	213	1290	3077	5002
ysaE	NC_000913.3	3720400	3720471	+	72	12	7	0
mokA	NC_000913.3	3720448	3720632	-	185	4	3	0
hokA	NC_000913.3	3720448	3720600	-	153	0	0	0
insJ	NC_000913.3	3720680	3721201	+	522	112	60	21
insK	NC_000913.3	3721198	3722049	+	852	144	78	15
sokA	NC_000913.3	3722077	3722111	+	35	9	4	0
glyS	NC_000913.3	3722328	3724397	-	2070	2913	4323	3084
glyQ	NC_000913.3	3724407	3725318	-	912	993	1780	708
ysaB	NC_000913.3	3725413	3725712	-	300	227	123	34
wecH	NC_000913.3	3725887	3726882	+	996	453	298	61
yiaA	NC_000913.3	3726924	3727361	-	438	115	52	26
yiaB	NC_000913.3	3727407	3727748	-	342	90	56	9
xylB	NC_000913.3	3727917	3729371	-	1455	696	690	107
xylZ	NC_000913.3	3729386	3729545	-	160	16	13	1
xylA	NC_000913.3	3729443	3730765	-	1323	890	672	117
xylF	NC_000913.3	3731131	3732123	+	993	585	359	33
xylG	NC_000913.3	3732201	3733742	+	1542	631	443	139
xylH	NC_000913.3	3733720	3734901	+	1182	722	438	49
xylR	NC_000913.3	3734979	3736157	+	1179	463	314	138
bax	NC_000913.3	3736353	3737177	-	825	438	253	1349
baxL	NC_000913.3	3737177	3737203	-	27	3	4	2
malS	NC_000913.3	3737497	3739527	+	2031	1157	577	169
avtA	NC_000913.3	3739705	3740958	+	1254	921	817	1117
ysaA	NC_000913.3	3741109	3741582	-	474	195	107	157
plaR	NC_000913.3	3741684	3742532	-	849	445	252	171
yiaK	NC_000913.3	3742733	3743731	+	999	427	251	35
yiaL	NC_000913.3	3743743	3744210	+	468	95	67	12
yiaM	NC_000913.3	3744328	3744801	+	474	112	51	6
yiaN	NC_000913.3	3744804	3746081	+	1278	569	226	31
yiaO	NC_000913.3	3746094	3747080	+	987	464	219	26
lyxK	NC_000913.3	3747084	3748580	+	1497	1031	451	64
sgbH	NC_000913.3	3748577	3749239	+	663	258	128	28
sgbU	NC_000913.3	3749232	3750092	+	861	385	197	37
sgbE	NC_000913.3	3750086	3750781	+	696	300	188	29
ysaC	NC_000913.3	3750813	3750914	-	102	55	27	3
ysaD	NC_000913.3	3750918	3751109	+	192	85	34	12
yiaT	NC_000913.3	3751128	3751868	-	741	220	154	48
yiaU	NC_000913.3	3751992	3752966	+	975	554	593	191
yiaV	NC_000913.3	3752963	3754099	-	1137	689	610	79
yiaW	NC_000913.3	3754105	3754428	-	324	253	380	8
aldB	NC_000913.3	3754973	3756511	-	1539	18730	35865	60
yiaY	NC_000913.3	3756676	3757827	-	1152	520	232	44
selB	NC_000913.3	3758017	3759861	-	1845	1365	1272	535
selA	NC_000913.3	3759858	3761249	-	1392	1132	1033	321
yibF	NC_000913.3	3761347	3761955	-	609	932	1974	102
rhsA	NC_000913.3	3762183	3766316	+	4134	6961	4462	1218
yibA	NC_000913.3	3766337	3767179	+	843	674	1134	605
yibJ	NC_000913.3	3767221	3767922	+	702	999	859	385
yibG	NC_000913.3	3768177	3768638	+	462	163	138	68
yibS	NC_000913.3	3768639	3768890	+	252	113	59	23
yibW	NC_000913.3	3768892	3769256	+	365	118	89	16
yibV	NC_000913.3	3769345	3769680	+	336	73	75	4
yibU	NC_000913.3	3769948	3770146	+	199	154	115	26
yibH	NC_000913.3	3770243	3771379	-	1137	1474	1124	117
yibI	NC_000913.3	3771382	3771744	-	363	546	371	64
mtlA	NC_000913.3	3772281	3774194	+	1914	4180	5242	382
mtlD	NC_000913.3	3774424	3775572	+	1149	3845	3847	948
mtlR	NC_000913.3	3775572	3776159	+	588	2009	2127	577
yibT	NC_000913.3	3776171	3776380	-	210	36111	30103	575
yibL	NC_000913.3	3776665	3777027	+	363	1114	890	275
lldP	NC_000913.3	3777399	3779054	+	1656	10987	9830	245
lldR	NC_000913.3	3779054	3779830	+	777	3435	3840	124
lldD	NC_000913.3	3779827	3781017	+	1191	7117	7792	375
trmL	NC_000913.3	3781215	3781688	+	474	786	443	430
cysE	NC_000913.3	3781741	3782562	-	822	2510	2161	2593
gpsA	NC_000913.3	3782642	3783661	-	1020	3369	2792	1768
secB	NC_000913.3	3783661	3784128	-	468	3626	4040	925
grxC	NC_000913.3	3784191	3784442	-	252	585	667	279
yibN	NC_000913.3	3784584	3785015	-	432	525	608	354
gpmM	NC_000913.3	3785260	3786804	+	1545	4054	2777	1201
envC	NC_000913.3	3786838	3788097	+	1260	1732	898	481
yibQ	NC_000913.3	3788101	3789060	+	960	1314	664	660
waaH	NC_000913.3	3789047	3790081	-	1035	1229	976	1774
tdh	NC_000913.3	3790320	3791345	-	1026	0	0	0
kbl	NC_000913.3	3791355	3792551	-	1197	978	881	498
htrL	NC_000913.3	3792826	3793683	-	858	432	522	290
rfaD	NC_000913.3	3793987	3794919	+	933	2016	2071	893
waaF	NC_000913.3	3794929	3795975	+	1047	830	722	579
waaC	NC_000913.3	3795979	3796938	+	960	465	305	260
waaL	NC_000913.3	3796948	3798207	+	1260	233	283	158
yibX	NC_000913.3	3797772	3798014	-	243	0	0	0
yibY	NC_000913.3	3798039	3798149	-	111	0	0	0
waaU	NC_000913.3	3798239	3799312	-	1074	657	745	168
waaZ	NC_000913.3	3799345	3800196	-	852	490	546	118
waaY	NC_000913.3	3800267	3800965	-	699	433	530	86
waaJ	NC_000913.3	3800983	3801999	-	1017	686	711	207
waaO	NC_000913.3	3802039	3803058	-	1020	883	943	243
waaB	NC_000913.3	3803058	3804137	-	1080	1128	1096	254
waaS	NC_000913.3	3804181	3805116	-	936	792	955	256
waaP	NC_000913.3	3805153	3805950	-	798	608	568	156
waaG	NC_000913.3	3805943	3807067	-	1125	1202	1065	263
waaQ	NC_000913.3	3807064	3808098	-	1035	1333	1450	316
rirA	NC_000913.3	3808166	3808238	-	73	46	31	7
waaA	NC_000913.3	3808540	3809817	+	1278	1130	843	219
coaD	NC_000913.3	3809825	3810304	+	480	515	418	115
mutM	NC_000913.3	3810343	3811152	-	810	558	392	138
rpmG	NC_000913.3	3811250	3811417	-	168	523	452	611
rpmB	NC_000913.3	3811438	3811674	-	237	2352	2309	4982
yicR	NC_000913.3	3811891	3812559	-	669	677	439	157
dfp	NC_000913.3	3812731	3813951	+	1221	848	603	276
dut	NC_000913.3	3813929	3814387	+	459	279	259	140
slmA	NC_000913.3	3814494	3815090	+	597	402	273	169
pyrE	NC_000913.3	3815127	3815768	-	642	447	214	35
rph	NC_000913.3	3815863	3816549	-	687	606	375	60
yicC	NC_000913.3	3816676	3817539	+	864	1407	1256	340
dinD	NC_000913.3	3817760	3818584	+	825	531	390	85
yicG	NC_000913.3	3818874	3819491	+	618	451	216	39
ligB	NC_000913.3	3819488	3821170	-	1683	1086	621	142
gmk	NC_000913.3	3821428	3822051	+	624	1534	1994	1270
rpoZ	NC_000913.3	3822106	3822381	+	276	1038	1224	635
spoT	NC_000913.3	3822400	3824508	+	2109	1644	1240	1473
trmH	NC_000913.3	3824515	3825204	+	690	342	198	161
recG	NC_000913.3	3825210	3827291	+	2082	1342	712	520
gltS	NC_000913.3	3827460	3828665	-	1206	802	542	447
xanP	NC_000913.3	3828945	3830336	+	1392	747	375	180
yicH	NC_000913.3	3830457	3832166	+	1710	2038	1484	447
yicI	NC_000913.3	3832219	3834537	-	2319	1284	585	167
yicJ	NC_000913.3	3834547	3835929	-	1383	826	455	78
selC	NC_000913.3	3836222	3836316	+	95	104	50	13
yicT	NC_000913.3	3836425	3836556	+	132	78	39	16
setC	NC_000913.3	3836953	3838137	+	1185	474	276	35
yicL	NC_000913.3	3838248	3839171	+	924	743	475	163
yicU	NC_000913.3	3838642	3838701	-	60	0	0	0
nlpA	NC_000913.3	3839175	3839993	-	819	671	682	413
yicS	NC_000913.3	3840215	3840508	+	294	173	200	43
nepI	NC_000913.3	3840549	3841739	-	1191	915	501	155
yicN	NC_000913.3	3841950	3842402	-	453	367	219	68
adeQ	NC_000913.3	3842455	3843789	-	1335	513	304	35
adeD	NC_000913.3	3843964	3845730	+	1767	1287	896	126
uhpU	NC_000913.3	3845730	3845995	-	266	10	2	0
uhpT	NC_000913.3	3845776	3847167	-	1392	563	276	47
uhpC	NC_000913.3	3847305	3848624	-	1320	1101	536	95
uhpB	NC_000913.3	3848634	3850136	-	1503	718	442	198
uhpA	NC_000913.3	3850136	3850726	-	591	586	840	218
ilvN	NC_000913.3	3850802	3851092	-	291	710	796	26
ilvB	NC_000913.3	3851096	3852784	-	1689	3316	4041	241
ivbL	NC_000913.3	3852890	3852988	-	99	274	267	15
istR	NC_000913.3	3853118	3853257	-	140	133	73	15
tisB	NC_000913.3	3853553	3853642	+	90	1371	2209	597
ysdE	NC_000913.3	3853766	3853840	-	75	26	12	2
emrD	NC_000913.3	3853922	3855106	+	1185	635	327	141
yidF	NC_000913.3	3855114	3855611	-	498	175	154	46
yidG	NC_000913.3	3855608	3855970	-	363	221	153	64
yidH	NC_000913.3	3855960	3856307	-	348	291	287	123
yidI	NC_000913.3	3856415	3856864	+	450	350	207	58
yidJ	NC_000913.3	3856911	3858404	-	1494	718	385	90
yidK	NC_000913.3	3858401	3860116	-	1716	927	470	59
yidL	NC_000913.3	3860283	3861176	+	894	329	202	42
glvG	NC_000913.3	3861173	3861987	-	815	413	199	62
glvB	NC_000913.3	3861987	3862472	-	486	297	145	14
glvC	NC_000913.3	3862497	3863603	-	1107	655	304	53
yidP	NC_000913.3	3863899	3864615	+	717	503	261	43
yidE	NC_000913.3	3864612	3866273	-	1662	1548	991	194
ibpB	NC_000913.3	3866469	3866897	-	429	472	525	758
ibpA	NC_000913.3	3867009	3867422	-	414	760	944	1512
yidQ	NC_000913.3	3867728	3868060	+	333	1109	1358	514
yidR	NC_000913.3	3868062	3869309	-	1248	1028	606	451
cbrA	NC_000913.3	3869377	3870441	+	1065	530	226	26
dgoT	NC_000913.3	3870438	3871730	-	1293	775	336	40
dgoD	NC_000913.3	3871850	3872998	-	1149	814	457	83
dgoA	NC_000913.3	3872995	3873612	-	618	380	200	55
dgoK	NC_000913.3	3873596	3874474	-	879	584	341	116
dgoR	NC_000913.3	3874471	3875160	-	690	469	284	131
yidX	NC_000913.3	3875438	3876094	+	657	222	131	89
yidA	NC_000913.3	3876140	3876952	-	813	709	405	352
yidB	NC_000913.3	3877067	3877465	-	399	231	197	51
gyrB	NC_000913.3	3877705	3880119	-	2415	2495	2754	3151
recF	NC_000913.3	3880148	3881221	-	1074	607	367	371
dnaN	NC_000913.3	3881221	3882321	-	1101	1210	1124	1377
dnaA	NC_000913.3	3882326	3883729	-	1404	1663	1900	2836
ysdD	NC_000913.3	3884026	3884106	+	81	263	185	31
rpmH	NC_000913.3	3884336	3884476	+	141	716	785	790
rnpA	NC_000913.3	3884493	3884852	+	360	166	93	422
yidD	NC_000913.3	3884816	3885073	+	258	125	98	107
yidC	NC_000913.3	3885076	3886722	+	1647	1080	1177	1149
mnmE	NC_000913.3	3886828	3888192	+	1365	960	612	375
tnaC	NC_000913.3	3888435	3888509	+	75	388	177	4
tnaA	NC_000913.3	3888730	3890145	+	1416	11228	4396	35
tnaB	NC_000913.3	3890236	3891483	+	1248	1714	762	39
mdtL	NC_000913.3	3891615	3892790	+	1176	632	312	45
yidZ	NC_000913.3	3892765	3893724	+	960	540	273	161
yieE	NC_000913.3	3893881	3894630	+	750	381	315	851
yieF	NC_000913.3	3894652	3895218	+	567	380	254	745
adeP	NC_000913.3	3895272	3896609	-	1338	836	516	587
yieH	NC_000913.3	3896774	3897439	+	666	405	194	166
cbrB	NC_000913.3	3897506	3897973	+	468	162	95	56
cbrC	NC_000913.3	3898022	3898609	+	588	288	150	47
yieK	NC_000913.3	3898671	3899393	-	723	488	243	41
yieL	NC_000913.3	3899408	3900577	-	1170	491	230	55
bglH	NC_000913.3	3900604	3902220	-	1617	631	300	33
bglB	NC_000913.3	3902289	3903701	-	1413	595	309	31
bglF	NC_000913.3	3903720	3905597	-	1878	1145	580	215
bglG	NC_000913.3	3905731	3906567	-	837	236	135	17
phoU	NC_000913.3	3906853	3907578	-	726	632	552	634
pstB	NC_000913.3	3907593	3908366	-	774	691	529	704
pstA	NC_000913.3	3908549	3909439	-	891	703	448	525
pstC	NC_000913.3	3909439	3910398	-	960	752	437	334
pstS	NC_000913.3	3910485	3911525	-	1041	599	415	424
glmS	NC_000913.3	3911839	3913668	-	1830	6598	6363	8544
glmU	NC_000913.3	3913830	3915200	-	1371	3625	4264	9327
atpC	NC_000913.3	3915553	3915972	-	420	676	701	502
atpD	NC_000913.3	3915993	3917375	-	1383	1653	2068	1407
atpG	NC_000913.3	3917402	3918265	-	864	1078	1171	701
atpA	NC_000913.3	3918316	3919857	-	1542	2233	2510	1366
atpH	NC_000913.3	3919870	3920403	-	534	686	725	286
atpF	NC_000913.3	3920418	3920888	-	471	934	1060	417
atpE	NC_000913.3	3920950	3921189	-	240	553	652	225
atpB	NC_000913.3	3921236	3922051	-	816	829	949	453
atpI	NC_000913.3	3922060	3922440	-	381	311	279	146
rsmG	NC_000913.3	3923057	3923680	-	624	255	193	309
mnmG	NC_000913.3	3923744	3925633	-	1890	1329	868	1502
mioC	NC_000913.3	3926012	3926455	-	444	283	272	835
asnC	NC_000913.3	3926545	3927003	-	459	153	138	68
asnA	NC_000913.3	3927155	3928147	+	993	506	308	11465
viaA	NC_000913.3	3928152	3929603	-	1452	802	580	1127
ravA	NC_000913.3	3929597	3931093	-	1497	1131	1219	321
kup	NC_000913.3	3931316	3933184	+	1869	1374	979	312
rbsD	NC_000913.3	3933351	3933770	+	420	2103	2758	104
rbsA	NC_000913.3	3933778	3935283	+	1506	1881	1563	75
rbsC	NC_000913.3	3935288	3936253	+	966	1433	1001	69
rbsB	NC_000913.3	3936278	3937168	+	891	2835	2344	82
rbsZ	NC_000913.3	3937045	3937278	+	234	96	81	10
rbsK	NC_000913.3	3937294	3938223	+	930	566	377	193
rbsR	NC_000913.3	3938227	3939219	+	993	273	128	60
hsrA	NC_000913.3	3939185	3940612	-	1428	524	359	205
yieP	NC_000913.3	3940635	3941327	-	693	533	452	274
rrsC	NC_000913.3	3941808	3943349	+	1542	1408	1075	537
gltU	NC_000913.3	3943435	3943510	+	76	27	28	51
rrlC	NC_000913.3	3943704	3946607	+	2904	2979	2390	1347
rrfC	NC_000913.3	3946700	3946819	+	120	39	27	7
aspT	NC_000913.3	3946872	3946948	+	77	26	22	1
trpT	NC_000913.3	3946957	3947032	+	76	24	20	6
hdfR	NC_000913.3	3947128	3947967	-	840	509	287	242
maoP	NC_000913.3	3948086	3948424	+	339	155	205	124
yifB	NC_000913.3	3948449	3949969	-	1521	786	363	93
ilvL	NC_000913.3	3950322	3950420	+	99	149	83	19
ilvX	NC_000913.3	3950507	3950557	+	51	26	15	3
ilvG	NC_000913.3	3950560	3952204	+	1645	740	529	294
ilvM	NC_000913.3	3952201	3952464	+	264	68	26	13
ilvE	NC_000913.3	3952484	3953413	+	930	615	326	222
ilvD	NC_000913.3	3953478	3955328	+	1851	895	522	371
ilvA	NC_000913.3	3955331	3956875	+	1545	701	455	482
ilvY	NC_000913.3	3956927	3957820	-	894	568	365	151
ilvC	NC_000913.3	3957970	3959445	+	1476	1047	2017	2345
ppiC	NC_000913.3	3959532	3959813	-	282	178	122	164
yifN	NC_000913.3	3960012	3960460	-	449	351	231	153
rep	NC_000913.3	3960677	3962698	+	2022	1253	666	449
gpp	NC_000913.3	3962745	3964229	-	1485	1025	667	1576
rhlB	NC_000913.3	3964365	3965630	-	1266	1693	1837	1480
trxA	NC_000913.3	3965761	3966090	+	330	2542	3195	1674
rhoL	NC_000913.3	3966231	3966332	+	102	277	252	715
rho	NC_000913.3	3966417	3967676	+	1260	1494	1258	4418
rfe	NC_000913.3	3967916	3969019	+	1104	771	595	494
wzzE	NC_000913.3	3969031	3970077	+	1047	665	491	432
wecB	NC_000913.3	3970133	3971263	+	1131	508	350	324
wecC	NC_000913.3	3971260	3972522	+	1263	558	360	374
rffG	NC_000913.3	3972522	3973589	+	1068	544	308	364
rffH	NC_000913.3	3973608	3974489	+	882	557	382	318
rffC	NC_000913.3	3974467	3975141	+	675	253	149	140
wecE	NC_000913.3	3975146	3976276	+	1131	726	677	508
wzxE	NC_000913.3	3976278	3977528	+	1251	585	466	382
wecF	NC_000913.3	3977525	3978604	+	1080	734	492	330
wzyE	NC_000913.3	3978601	3979953	+	1353	865	535	128
rffM	NC_000913.3	3979956	3980696	+	741	506	438	123
yifK	NC_000913.3	3980887	3982272	+	1386	994	725	128
argX	NC_000913.3	3982375	3982451	+	77	328	246	32
hisR	NC_000913.3	3982509	3982585	+	77	85	74	49
leuT	NC_000913.3	3982606	3982692	+	87	41	46	29
proM	NC_000913.3	3982735	3982811	+	77	74	32	3
aslB	NC_000913.3	3982958	3984193	+	1236	566	236	58
aslA	NC_000913.3	3984352	3986007	-	1656	699	427	135
glmZ	NC_000913.3	3986432	3986603	+	172	141	143	63
hemY	NC_000913.3	3986686	3987882	-	1197	1389	1309	328
hemX	NC_000913.3	3987885	3989066	-	1182	1873	2062	433
hemD	NC_000913.3	3989088	3989828	-	741	1036	844	321
hemC	NC_000913.3	3989825	3990766	-	942	2236	1759	904
cyaA	NC_000913.3	3991153	3993699	+	2547	8472	7171	12020
cyaY	NC_000913.3	3993739	3994059	-	321	57	54	296
yzcX	NC_000913.3	3993850	3994335	+	486	154	99	113
yifL	NC_000913.3	3994522	3994725	+	204	649	632	354
dapF	NC_000913.3	3994762	3995586	+	825	1316	1145	749
yigA	NC_000913.3	3995583	3996290	+	708	539	412	378
xerC	NC_000913.3	3996287	3997183	+	897	629	435	423
yigB	NC_000913.3	3997183	3997899	+	717	366	229	250
uvrD	NC_000913.3	3997983	4000145	+	2163	2196	2136	2134
yigE	NC_000913.3	4000292	4001056	-	765	423	185	146
ysgD	NC_000913.3	4001218	4001274	+	57	53	28	39
corA	NC_000913.3	4001426	4002376	+	951	874	545	246
yigF	NC_000913.3	4002419	4002799	-	381	38	25	16
yigG	NC_000913.3	4002813	4003193	-	381	26	24	10
rarD	NC_000913.3	4003288	4004178	-	891	458	330	95
yigI	NC_000913.3	4004230	4004697	-	468	523	418	223
pldA	NC_000913.3	4004862	4005731	+	870	374	194	100
recQ	NC_000913.3	4005864	4007693	+	1830	903	545	207
rhtC	NC_000913.3	4007757	4008377	+	621	15847	17630	13839
rhtB	NC_000913.3	4008439	4009059	-	621	1074	1146	3729
pldB	NC_000913.3	4009170	4010192	+	1023	704	479	1530
yigL	NC_000913.3	4010200	4011000	+	801	413	256	749
bioP	NC_000913.3	4011076	4011975	+	900	338	241	397
metR	NC_000913.3	4011863	4012816	-	954	261	164	961
metE	NC_000913.3	4013053	4015314	+	2262	1361	797	641
ysgA	NC_000913.3	4015354	4016169	-	816	1496	2111	565
udp	NC_000913.3	4016431	4017192	+	762	1711	2535	234
rmuC	NC_000913.3	4017333	4018760	+	1428	794	673	181
ubiE	NC_000913.3	4018855	4019610	+	756	767	809	428
ubiJ	NC_000913.3	4019624	4020229	+	606	341	300	226
esrE	NC_000913.3	4019978	4020229	+	252	0	0	0
ubiB	NC_000913.3	4020226	4021866	+	1641	993	787	376
tatA	NC_000913.3	4021945	4022214	+	270	553	590	230
tatB	NC_000913.3	4022218	4022733	+	516	500	375	419
tatC	NC_000913.3	4022736	4023512	+	777	515	330	288
tatD	NC_000913.3	4023554	4024336	+	783	454	249	192
rfaH	NC_000913.3	4024333	4024821	-	489	258	182	159
ubiD	NC_000913.3	4024988	4026481	+	1494	2492	2178	1985
fre	NC_000913.3	4026527	4027228	+	702	1297	1270	1446
fadA	NC_000913.3	4027609	4028772	-	1164	4162	7617	255
fadB	NC_000913.3	4028782	4030971	-	2190	6380	8875	114
pepQ	NC_000913.3	4031161	4032492	+	1332	1918	1620	806
yigZ	NC_000913.3	4032492	4033106	+	615	535	321	288
trkH	NC_000913.3	4033145	4034596	+	1452	1254	1043	595
hemG	NC_000913.3	4034608	4035153	+	546	461	406	251
rrsA	NC_000913.3	4035531	4037072	+	1542	1333	923	477
ileT	NC_000913.3	4037141	4037217	+	77	40	15	9
alaT	NC_000913.3	4037260	4037335	+	76	22	14	336
rrlA	NC_000913.3	4037519	4040423	+	2905	3085	2520	1265
rrfA	NC_000913.3	4040517	4040636	+	120	117	74	14
mobB	NC_000913.3	4040906	4041433	-	528	265	140	46
mobA	NC_000913.3	4041415	4041999	-	585	283	196	81
yihD	NC_000913.3	4042069	4042338	+	270	276	222	228
srkA	NC_000913.3	4042415	4043401	+	987	799	682	316
dsbA	NC_000913.3	4043418	4044044	+	627	775	1069	288
yihF	NC_000913.3	4044199	4045629	+	1431	459	240	81
yihG	NC_000913.3	4045670	4046602	-	933	327	192	66
polA	NC_000913.3	4046966	4049752	+	2787	2240	1906	814
spf	NC_000913.3	4049899	4050009	+	111	49	23	18
yihA	NC_000913.3	4050133	4050765	-	633	769	542	227
csrC	NC_000913.3	4051036	4051281	+	246	735	1625	526
yihI	NC_000913.3	4051347	4051856	+	510	1148	1175	265
hemN	NC_000913.3	4052045	4053418	+	1374	1495	1201	515
yshB	NC_000913.3	4053647	4053757	-	111	548	469	1161
glnG	NC_000913.3	4053869	4055278	-	1410	1185	1020	2934
glnL	NC_000913.3	4055290	4056339	-	1050	819	640	1794
glnA	NC_000913.3	4056625	4058034	-	1410	763	583	13204
bipA	NC_000913.3	4058407	4060230	+	1824	1565	1652	2895
yihL	NC_000913.3	4060447	4061157	+	711	641	453	76
yihM	NC_000913.3	4061165	4062145	+	981	529	372	46
yihN	NC_000913.3	4062247	4063512	+	1266	336	196	28
ompL	NC_000913.3	4063603	4064295	-	693	173	133	34
yihO	NC_000913.3	4064363	4065766	-	1404	486	255	48
yihP	NC_000913.3	4065809	4067194	-	1386	694	303	42
yihQ	NC_000913.3	4067240	4069276	-	2037	973	490	95
yihR	NC_000913.3	4069475	4070401	-	927	361	172	23
yihS	NC_000913.3	4070515	4071756	-	1242	542	269	47
yihT	NC_000913.3	4071773	4072651	-	879	351	225	37
yihU	NC_000913.3	4072675	4073571	-	897	367	148	46
yihV	NC_000913.3	4073739	4074635	+	897	441	254	84
csqR	NC_000913.3	4074669	4075454	+	786	672	580	129
yihX	NC_000913.3	4075553	4076152	+	600	683	995	161
yihY	NC_000913.3	4076146	4077018	+	873	705	646	296
dtd	NC_000913.3	4077015	4077452	+	438	450	378	175
fabY	NC_000913.3	4077449	4078438	+	990	975	881	269
yiiE	NC_000913.3	4079291	4079509	+	219	42	21	12
yiiF	NC_000913.3	4079751	4079969	+	219	168	110	44
fdhE	NC_000913.3	4080299	4081228	-	930	1020	1071	493
fdoI	NC_000913.3	4081225	4081860	-	636	1006	1286	295
