Geneid	Chr	Start	End	Strand	Length
tufA	NC_000913.3	3470145	3471329	-	1185
fusA	NC_000913.3	3471400	3473514	-	2115
rpsG	NC_000913.3	3473542	3474081	-	540
rpsL	NC_000913.3	3474178	3474552	-	375
tusB	NC_000913.3	3474678	3474965	-	288
tusC	NC_000913.3	3474973	3475332	-	360
tusD	NC_000913.3	3475332	3475718	-	387
yheO	NC_000913.3	3475718	3476440	-	723
fkpA	NC_000913.3	3476607	3477419	-	813
slyX	NC_000913.3	3477640	3477858	+	219
slyD	NC_000913.3	3477907	3478497	-	591
yheV	NC_000913.3	3478592	3478792	-	201
kefB	NC_000913.3	3478802	3480607	-	1806
kefG	NC_000913.3	3480607	3481161	-	555
yheS	NC_000913.3	3481289	3483202	+	1914
yheT	NC_000913.3	3483202	3484224	+	1023
yheU	NC_000913.3	3484218	3484436	+	219
prkB	NC_000913.3	3484490	3485359	+	870
yhfA	NC_000913.3	3485414	3485818	-	405
crp	NC_000913.3	3486120	3486752	+	633
yhfK	NC_000913.3	3486791	3488893	+	2103
argD	NC_000913.3	3488960	3490180	-	1221
yrfJ	NC_000913.3	3490132	3490185	-	54
pabA	NC_000913.3	3490266	3490829	-	564
fic	NC_000913.3	3490861	3491463	-	603
yhfG	NC_000913.3	3491453	3491620	-	168
ppiA	NC_000913.3	3491725	3492297	-	573
tsgA	NC_000913.3	3492568	3493749	+	1182
nirB	NC_000913.3	3494011	3496554	+	2544
nirD	NC_000913.3	3496551	3496877	+	327
nirC	NC_000913.3	3497003	3497809	+	807
cysG	NC_000913.3	3497828	3499201	+	1374
yhfL	NC_000913.3	3499448	3499615	+	168
frlA	NC_000913.3	3499910	3501247	+	1338
frlB	NC_000913.3	3501268	3502290	+	1023
frlC	NC_000913.3	3502340	3503170	+	831
frlD	NC_000913.3	3503167	3503952	+	786
frlR	NC_000913.3	3504052	3504783	+	732
yhfS	NC_000913.3	3504935	3506020	-	1086
yhfT	NC_000913.3	3506032	3507336	-	1305
yhfU	NC_000913.3	3507348	3507701	-	354
php	NC_000913.3	3507712	3508590	-	879
yhfW	NC_000913.3	3508587	3509813	-	1227
yhfX	NC_000913.3	3509813	3510976	-	1164
yhfY	NC_000913.3	3511060	3511422	-	363
yhfZ	NC_000913.3	3511439	3512344	-	906
trpS	NC_000913.3	3512634	3513638	-	1005
gph	NC_000913.3	3513631	3514389	-	759
rpe	NC_000913.3	3514382	3515059	-	678
dam	NC_000913.3	3515077	3515913	-	837
damX	NC_000913.3	3516020	3517306	-	1287
aroB	NC_000913.3	3517398	3518486	-	1089
aroK	NC_000913.3	3518543	3519064	-	522
hofQ	NC_000913.3	3519465	3520703	-	1239
hofP	NC_000913.3	3520615	3521019	-	405
hofO	NC_000913.3	3521009	3521449	-	441
hofN	NC_000913.3	3521433	3521972	-	540
hofM	NC_000913.3	3521972	3522751	-	780
mrcA	NC_000913.3	3522871	3525423	+	2553
nudE	NC_000913.3	3525589	3526149	-	561
igaA	NC_000913.3	3526469	3528604	+	2136
yrfG	NC_000913.3	3528669	3529337	+	669
hslR	NC_000913.3	3529348	3529749	+	402
hslO	NC_000913.3	3529774	3530652	+	879
yhgE	NC_000913.3	3530715	3532439	-	1725
pck	NC_000913.3	3532818	3534440	+	1623
envZ	NC_000913.3	3534516	3535868	-	1353
ompR	NC_000913.3	3535865	3536584	-	720
greB	NC_000913.3	3536812	3537288	+	477
yhgF	NC_000913.3	3537385	3539706	+	2322
feoA	NC_000913.3	3540163	3540390	+	228
feoB	NC_000913.3	3540407	3542728	+	2322
feoC	NC_000913.3	3542728	3542964	+	237
rpnA	NC_000913.3	3543167	3544045	+	879
bioH	NC_000913.3	3544074	3544844	-	771
yhgH	NC_000913.3	3544882	3545565	+	684
nfuA	NC_000913.3	3545624	3546199	+	576
gntT	NC_000913.3	3546559	3547875	+	1317
malQ	NC_000913.3	3547986	3550070	-	2085
malP	NC_000913.3	3550080	3552473	-	2394
malT	NC_000913.3	3553085	3555790	+	2706
rtcA	NC_000913.3	3555833	3556849	-	1017
rtcB	NC_000913.3	3556853	3558079	-	1227
rtcR	NC_000913.3	3558268	3559866	+	1599
glpR	NC_000913.3	3559848	3560605	-	758
glpG	NC_000913.3	3560622	3561452	-	831
glpE	NC_000913.3	3561497	3561823	-	327
glpD	NC_000913.3	3562013	3563518	+	1506
yzgL	NC_000913.3	3563724	3564005	-	282
glgP	NC_000913.3	3564134	3566581	-	2448
glgA	NC_000913.3	3566600	3568033	-	1434
glgC	NC_000913.3	3568033	3569328	-	1296
glgX	NC_000913.3	3569346	3571319	-	1974
glgB	NC_000913.3	3571316	3573502	-	2187
yhgO	NC_000913.3	3573660	3573701	-	42
yhgP	NC_000913.3	3573679	3573708	-	30
asd	NC_000913.3	3573775	3574878	-	1104
yhgN	NC_000913.3	3575071	3575664	+	594
gntU	NC_000913.3	3575721	3577061	-	1341
gntK	NC_000913.3	3577065	3577592	-	528
gntR	NC_000913.3	3577731	3578726	-	996
yhhW	NC_000913.3	3578950	3579645	-	696
yhhX	NC_000913.3	3579768	3580805	-	1038
ryhB	NC_000913.3	3580922	3581016	-	95
yhhY	NC_000913.3	3581138	3581626	+	489
yhhZ	NC_000913.3	3581863	3583041	+	1179
yrhA	NC_000913.3	3583038	3584309	+	1272
insA6	NC_000913.3	3583483	3583758	+	276
insB6	NC_000913.3	3583677	3584180	+	504
yrhD	NC_000913.3	3584404	3584559	+	156
yrhB	NC_000913.3	3584759	3585043	+	285
ggt	NC_000913.3	3585081	3586823	-	1743
yhhA	NC_000913.3	3586943	3587383	+	441
ugpQ	NC_000913.3	3587370	3588113	-	744
ugpC	NC_000913.3	3588110	3589180	-	1071
ugpE	NC_000913.3	3589182	3590027	-	846
ugpA	NC_000913.3	3590024	3590911	-	888
ugpB	NC_000913.3	3591009	3592325	-	1317
livF	NC_000913.3	3592724	3593437	-	714
livG	NC_000913.3	3593439	3594206	-	768
livM	NC_000913.3	3594203	3595480	-	1278
livH	NC_000913.3	3595477	3596403	-	927
livK	NC_000913.3	3596451	3597560	-	1110
panZ	NC_000913.3	3597984	3598367	+	384
livJ	NC_000913.3	3598555	3599658	-	1104
rpoH	NC_000913.3	3599929	3600783	-	855
ftsX	NC_000913.3	3601028	3602086	-	1059
ftsE	NC_000913.3	3602079	3602747	-	669
ftsY	NC_000913.3	3602750	3604243	-	1494
rsmD	NC_000913.3	3604393	3604989	+	597
yhhL	NC_000913.3	3604979	3605248	+	270
yhhM	NC_000913.3	3605251	3605610	-	360
yhhN	NC_000913.3	3605751	3606377	+	627
zntA	NC_000913.3	3606451	3608649	+	2199
tusA	NC_000913.3	3608751	3608996	-	246
yhhQ	NC_000913.3	3609217	3609882	+	666
dcrB	NC_000913.3	3609955	3610512	+	558
yhhS	NC_000913.3	3610516	3611733	-	1218
yhhT	NC_000913.3	3611865	3612914	+	1050
acpT	NC_000913.3	3612969	3613556	+	588
nikA	NC_000913.3	3613667	3615241	+	1575
nikB	NC_000913.3	3615241	3616185	+	945
nikC	NC_000913.3	3616182	3617015	+	834
nikD	NC_000913.3	3617015	3617779	+	765
nikE	NC_000913.3	3617776	3618582	+	807
nikR	NC_000913.3	3618588	3618989	+	402
rhsB	NC_000913.3	3619192	3623427	+	4236
yhhH	NC_000913.3	3623399	3623782	+	384
yrhC	NC_000913.3	3623887	3624132	+	246
yhhI	NC_000913.3	3624378	3625514	+	1137
yhhJ	NC_000913.3	3625679	3626803	-	1125
rbbA	NC_000913.3	3626803	3629538	-	2736
yhiI	NC_000913.3	3629535	3630602	-	1068
yhiY	NC_000913.3	3630665	3630778	-	114
yhiJ	NC_000913.3	3630968	3632590	-	1623
yhiL	NC_000913.3	3632852	3634458	-	1607
yhiM	NC_000913.3	3634841	3635893	+	1053
yhiN	NC_000913.3	3636208	3637410	-	1203
pitA	NC_000913.3	3637642	3639141	+	1500
uspB	NC_000913.3	3639385	3639720	-	336
uspA	NC_000913.3	3640111	3640545	+	435
yriA	NC_000913.3	3640612	3640686	-	75
yriB	NC_000913.3	3640643	3640696	-	54
dtpB	NC_000913.3	3640862	3642331	+	1470
rsmJ	NC_000913.3	3642380	3643132	-	753
prlC	NC_000913.3	3643140	3645182	-	2043
rlmJ	NC_000913.3	3645385	3646227	+	843
gor	NC_000913.3	3646299	3647651	+	1353
dinQ	NC_000913.3	3647705	3647788	-	84
agrA	NC_000913.3	3648063	3648144	+	82
agrB	NC_000913.3	3648294	3648375	+	82
arsR	NC_000913.3	3648528	3648881	+	354
arsB	NC_000913.3	3648935	3650224	+	1290
arsC	NC_000913.3	3650237	3650662	+	426
yhiS	NC_000913.3	3651291	3653713	+	2423
insH11	NC_000913.3	3652182	3653162	-	981
slp	NC_000913.3	3653961	3654527	+	567
dctR	NC_000913.3	3654683	3655213	+	531
yhiD	NC_000913.3	3655255	3655902	-	648
hdeB	NC_000913.3	3655966	3656292	-	327
hdeA	NC_000913.3	3656408	3656740	-	333
hdeD	NC_000913.3	3656995	3657567	+	573
arrS	NC_000913.3	3657985	3658054	-	70
gadE	NC_000913.3	3658366	3658893	+	528
gadF	NC_000913.3	3658992	3659082	+	91
mdtE	NC_000913.3	3659232	3660389	+	1158
mdtF	NC_000913.3	3660414	3663527	+	3114
gadW	NC_000913.3	3663890	3664618	-	729
gadY	NC_000913.3	3664864	3664969	+	106
gadX	NC_000913.3	3664986	3665810	-	825
gadA	NC_000913.3	3666180	3667580	-	1401
ccp	NC_000913.3	3667791	3669188	-	1398
treF	NC_000913.3	3669592	3671241	+	1650
yhjB	NC_000913.3	3671292	3671894	-	603
rcdB	NC_000913.3	3672414	3673313	+	900
yhjD	NC_000913.3	3673362	3674375	+	1014
yhjE	NC_000913.3	3674786	3676108	+	1323
yhjG	NC_000913.3	3676290	3678350	-	2061
pdeH	NC_000913.3	3678420	3679187	-	768
kdgK	NC_000913.3	3679419	3680348	+	930
yhjJ	NC_000913.3	3680444	3681940	-	1497
dctA	NC_000913.3	3682161	3683447	-	1287
pdeK	NC_000913.3	3683630	3685618	-	1989
bcsC	NC_000913.3	3685700	3689173	-	3474
bcsZ	NC_000913.3	3689155	3690261	-	1107
bcsB	NC_000913.3	3690268	3692607	-	2340
bcsA	NC_000913.3	3692618	3695236	-	2619
bcsQ	NC_000913.3	3695233	3695985	-	753
yhjR	NC_000913.3	3695997	3696185	-	189
bcsE	NC_000913.3	3696458	3698029	+	1572
bcsF	NC_000913.3	3698026	3698217	+	192
bcsG	NC_000913.3	3698214	3699893	+	1680
ldrD	NC_000913.3	3699980	3700087	-	108
rdlD	NC_000913.3	3700136	3700199	+	64
yhjV	NC_000913.3	3700563	3701834	+	1272
dppF	NC_000913.3	3701864	3702868	-	1005
dppD	NC_000913.3	3702865	3703848	-	984
dppC	NC_000913.3	3703859	3704761	-	903
dppB	NC_000913.3	3704771	3705790	-	1020
dppA	NC_000913.3	3706098	3707705	-	1608
proK	NC_000913.3	3708616	3708692	-	77
eptB	NC_000913.3	3708784	3710475	-	1692
yhjX	NC_000913.3	3710799	3712007	-	1209
yhjY	NC_000913.3	3712236	3712934	-	699
tag	NC_000913.3	3713092	3713655	+	564
yiaC	NC_000913.3	3713652	3714092	+	441
bisC	NC_000913.3	3714061	3716394	-	2334
yiaD	NC_000913.3	3716547	3717206	+	660
ghrB	NC_000913.3	3717310	3718284	+	975
yiaF	NC_000913.3	3718334	3719044	-	711
yiaG	NC_000913.3	3719478	3719768	+	291
cspA	NC_000913.3	3720049	3720261	+	213
ysaE	NC_000913.3	3720400	3720471	+	72
mokA	NC_000913.3	3720448	3720632	-	185
hokA	NC_000913.3	3720448	3720600	-	153
insJ	NC_000913.3	3720680	3721201	+	522
insK	NC_000913.3	3721198	3722049	+	852
sokA	NC_000913.3	3722077	3722111	+	35
glyS	NC_000913.3	3722328	3724397	-	2070
glyQ	NC_000913.3	3724407	3725318	-	912
ysaB	NC_000913.3	3725413	3725712	-	300
wecH	NC_000913.3	3725887	3726882	+	996
yiaA	NC_000913.3	3726924	3727361	-	438
yiaB	NC_000913.3	3727407	3727748	-	342
xylB	NC_000913.3	3727917	3729371	-	1455
xylZ	NC_000913.3	3729386	3729545	-	160
xylA	NC_000913.3	3729443	3730765	-	1323
xylF	NC_000913.3	3731131	3732123	+	993
xylG	NC_000913.3	3732201	3733742	+	1542
xylH	NC_000913.3	3733720	3734901	+	1182
xylR	NC_000913.3	3734979	3736157	+	1179
bax	NC_000913.3	3736353	3737177	-	825
baxL	NC_000913.3	3737177	3737203	-	27
malS	NC_000913.3	3737497	3739527	+	2031
avtA	NC_000913.3	3739705	3740958	+	1254
ysaA	NC_000913.3	3741109	3741582	-	474
plaR	NC_000913.3	3741684	3742532	-	849
yiaK	NC_000913.3	3742733	3743731	+	999
yiaL	NC_000913.3	3743743	3744210	+	468
yiaM	NC_000913.3	3744328	3744801	+	474
yiaN	NC_000913.3	3744804	3746081	+	1278
yiaO	NC_000913.3	3746094	3747080	+	987
lyxK	NC_000913.3	3747084	3748580	+	1497
sgbH	NC_000913.3	3748577	3749239	+	663
sgbU	NC_000913.3	3749232	3750092	+	861
sgbE	NC_000913.3	3750086	3750781	+	696
ysaC	NC_000913.3	3750813	3750914	-	102
ysaD	NC_000913.3	3750918	3751109	+	192
yiaT	NC_000913.3	3751128	3751868	-	741
yiaU	NC_000913.3	3751992	3752966	+	975
yiaV	NC_000913.3	3752963	3754099	-	1137
yiaW	NC_000913.3	3754105	3754428	-	324
aldB	NC_000913.3	3754973	3756511	-	1539
yiaY	NC_000913.3	3756676	3757827	-	1152
selB	NC_000913.3	3758017	3759861	-	1845
selA	NC_000913.3	3759858	3761249	-	1392
yibF	NC_000913.3	3761347	3761955	-	609
rhsA	NC_000913.3	3762183	3766316	+	4134
yibA	NC_000913.3	3766337	3767179	+	843
yibJ	NC_000913.3	3767221	3767922	+	702
yibG	NC_000913.3	3768177	3768638	+	462
yibS	NC_000913.3	3768639	3768890	+	252
yibW	NC_000913.3	3768892	3769256	+	365
yibV	NC_000913.3	3769345	3769680	+	336
yibU	NC_000913.3	3769948	3770146	+	199
yibH	NC_000913.3	3770243	3771379	-	1137
yibI	NC_000913.3	3771382	3771744	-	363
mtlA	NC_000913.3	3772281	3774194	+	1914
mtlD	NC_000913.3	3774424	3775572	+	1149
mtlR	NC_000913.3	3775572	3776159	+	588
yibT	NC_000913.3	3776171	3776380	-	210
yibL	NC_000913.3	3776665	3777027	+	363
lldP	NC_000913.3	3777399	3779054	+	1656
lldR	NC_000913.3	3779054	3779830	+	777
lldD	NC_000913.3	3779827	3781017	+	1191
trmL	NC_000913.3	3781215	3781688	+	474
cysE	NC_000913.3	3781741	3782562	-	822
gpsA	NC_000913.3	3782642	3783661	-	1020
secB	NC_000913.3	3783661	3784128	-	468
grxC	NC_000913.3	3784191	3784442	-	252
yibN	NC_000913.3	3784584	3785015	-	432
gpmM	NC_000913.3	3785260	3786804	+	1545
envC	NC_000913.3	3786838	3788097	+	1260
yibQ	NC_000913.3	3788101	3789060	+	960
waaH	NC_000913.3	3789047	3790081	-	1035
tdh	NC_000913.3	3790320	3791345	-	1026
kbl	NC_000913.3	3791355	3792551	-	1197
htrL	NC_000913.3	3792826	3793683	-	858
rfaD	NC_000913.3	3793987	3794919	+	933
waaF	NC_000913.3	3794929	3795975	+	1047
waaC	NC_000913.3	3795979	3796938	+	960
waaL	NC_000913.3	3796948	3798207	+	1260
yibX	NC_000913.3	3797772	3798014	-	243
yibY	NC_000913.3	3798039	3798149	-	111
waaU	NC_000913.3	3798239	3799312	-	1074
waaZ	NC_000913.3	3799345	3800196	-	852
waaY	NC_000913.3	3800267	3800965	-	699
waaJ	NC_000913.3	3800983	3801999	-	1017
waaO	NC_000913.3	3802039	3803058	-	1020
waaB	NC_000913.3	3803058	3804137	-	1080
waaS	NC_000913.3	3804181	3805116	-	936
waaP	NC_000913.3	3805153	3805950	-	798
waaG	NC_000913.3	3805943	3807067	-	1125
waaQ	NC_000913.3	3807064	3808098	-	1035
rirA	NC_000913.3	3808166	3808238	-	73
waaA	NC_000913.3	3808540	3809817	+	1278
coaD	NC_000913.3	3809825	3810304	+	480
mutM	NC_000913.3	3810343	3811152	-	810
rpmG	NC_000913.3	3811250	3811417	-	168
rpmB	NC_000913.3	3811438	3811674	-	237
yicR	NC_000913.3	3811891	3812559	-	669
dfp	NC_000913.3	3812731	3813951	+	1221
dut	NC_000913.3	3813929	3814387	+	459
slmA	NC_000913.3	3814494	3815090	+	597
pyrE	NC_000913.3	3815127	3815768	-	642
rph	NC_000913.3	3815863	3816549	-	687
yicC	NC_000913.3	3816676	3817539	+	864
dinD	NC_000913.3	3817760	3818584	+	825
yicG	NC_000913.3	3818874	3819491	+	618
ligB	NC_000913.3	3819488	3821170	-	1683
gmk	NC_000913.3	3821428	3822051	+	624
rpoZ	NC_000913.3	3822106	3822381	+	276
spoT	NC_000913.3	3822400	3824508	+	2109
trmH	NC_000913.3	3824515	3825204	+	690
recG	NC_000913.3	3825210	3827291	+	2082
gltS	NC_000913.3	3827460	3828665	-	1206
xanP	NC_000913.3	3828945	3830336	+	1392
yicH	NC_000913.3	3830457	3832166	+	1710
yicI	NC_000913.3	3832219	3834537	-	2319
yicJ	NC_000913.3	3834547	3835929	-	1383
selC	NC_000913.3	3836222	3836316	+	95
yicT	NC_000913.3	3836425	3836556	+	132
setC	NC_000913.3	3836953	3838137	+	1185
yicL	NC_000913.3	3838248	3839171	+	924
yicU	NC_000913.3	3838642	3838701	-	60
nlpA	NC_000913.3	3839175	3839993	-	819
yicS	NC_000913.3	3840215	3840508	+	294
nepI	NC_000913.3	3840549	3841739	-	1191
yicN	NC_000913.3	3841950	3842402	-	453
adeQ	NC_000913.3	3842455	3843789	-	1335
adeD	NC_000913.3	3843964	3845730	+	1767
uhpU	NC_000913.3	3845730	3845995	-	266
uhpT	NC_000913.3	3845776	3847167	-	1392
uhpC	NC_000913.3	3847305	3848624	-	1320
uhpB	NC_000913.3	3848634	3850136	-	1503
uhpA	NC_000913.3	3850136	3850726	-	591
ilvN	NC_000913.3	3850802	3851092	-	291
ilvB	NC_000913.3	3851096	3852784	-	1689
ivbL	NC_000913.3	3852890	3852988	-	99
istR	NC_000913.3	3853118	3853257	-	140
tisB	NC_000913.3	3853553	3853642	+	90
ysdE	NC_000913.3	3853766	3853840	-	75
emrD	NC_000913.3	3853922	3855106	+	1185
yidF	NC_000913.3	3855114	3855611	-	498
yidG	NC_000913.3	3855608	3855970	-	363
yidH	NC_000913.3	3855960	3856307	-	348
yidI	NC_000913.3	3856415	3856864	+	450
yidJ	NC_000913.3	3856911	3858404	-	1494
yidK	NC_000913.3	3858401	3860116	-	1716
yidL	NC_000913.3	3860283	3861176	+	894
glvG	NC_000913.3	3861173	3861987	-	815
glvB	NC_000913.3	3861987	3862472	-	486
glvC	NC_000913.3	3862497	3863603	-	1107
yidP	NC_000913.3	3863899	3864615	+	717
yidE	NC_000913.3	3864612	3866273	-	1662
ibpB	NC_000913.3	3866469	3866897	-	429
ibpA	NC_000913.3	3867009	3867422	-	414
yidQ	NC_000913.3	3867728	3868060	+	333
yidR	NC_000913.3	3868062	3869309	-	1248
cbrA	NC_000913.3	3869377	3870441	+	1065
dgoT	NC_000913.3	3870438	3871730	-	1293
dgoD	NC_000913.3	3871850	3872998	-	1149
dgoA	NC_000913.3	3872995	3873612	-	618
dgoK	NC_000913.3	3873596	3874474	-	879
dgoR	NC_000913.3	3874471	3875160	-	690
yidX	NC_000913.3	3875438	3876094	+	657
yidA	NC_000913.3	3876140	3876952	-	813
yidB	NC_000913.3	3877067	3877465	-	399
gyrB	NC_000913.3	3877705	3880119	-	2415
recF	NC_000913.3	3880148	3881221	-	1074
dnaN	NC_000913.3	3881221	3882321	-	1101
dnaA	NC_000913.3	3882326	3883729	-	1404
ysdD	NC_000913.3	3884026	3884106	+	81
rpmH	NC_000913.3	3884336	3884476	+	141
rnpA	NC_000913.3	3884493	3884852	+	360
yidD	NC_000913.3	3884816	3885073	+	258
yidC	NC_000913.3	3885076	3886722	+	1647
mnmE	NC_000913.3	3886828	3888192	+	1365
tnaC	NC_000913.3	3888435	3888509	+	75
tnaA	NC_000913.3	3888730	3890145	+	1416
tnaB	NC_000913.3	3890236	3891483	+	1248
mdtL	NC_000913.3	3891615	3892790	+	1176
yidZ	NC_000913.3	3892765	3893724	+	960
yieE	NC_000913.3	3893881	3894630	+	750
yieF	NC_000913.3	3894652	3895218	+	567
adeP	NC_000913.3	3895272	3896609	-	1338
yieH	NC_000913.3	3896774	3897439	+	666
cbrB	NC_000913.3	3897506	3897973	+	468
cbrC	NC_000913.3	3898022	3898609	+	588
yieK	NC_000913.3	3898671	3899393	-	723
yieL	NC_000913.3	3899408	3900577	-	1170
bglH	NC_000913.3	3900604	3902220	-	1617
bglB	NC_000913.3	3902289	3903701	-	1413
bglF	NC_000913.3	3903720	3905597	-	1878
bglG	NC_000913.3	3905731	3906567	-	837
phoU	NC_000913.3	3906853	3907578	-	726
pstB	NC_000913.3	3907593	3908366	-	774
pstA	NC_000913.3	3908549	3909439	-	891
pstC	NC_000913.3	3909439	3910398	-	960
pstS	NC_000913.3	3910485	3911525	-	1041
glmS	NC_000913.3	3911839	3913668	-	1830
glmU	NC_000913.3	3913830	3915200	-	1371
atpC	NC_000913.3	3915553	3915972	-	420
atpD	NC_000913.3	3915993	3917375	-	1383
atpG	NC_000913.3	3917402	3918265	-	864
atpA	NC_000913.3	3918316	3919857	-	1542
atpH	NC_000913.3	3919870	3920403	-	534
atpF	NC_000913.3	3920418	3920888	-	471
atpE	NC_000913.3	3920950	3921189	-	240
atpB	NC_000913.3	3921236	3922051	-	816
atpI	NC_000913.3	3922060	3922440	-	381
rsmG	NC_000913.3	3923057	3923680	-	624
mnmG	NC_000913.3	3923744	3925633	-	1890
mioC	NC_000913.3	3926012	3926455	-	444
asnC	NC_000913.3	3926545	3927003	-	459
asnA	NC_000913.3	3927155	3928147	+	993
viaA	NC_000913.3	3928152	3929603	-	1452
ravA	NC_000913.3	3929597	3931093	-	1497
kup	NC_000913.3	3931316	3933184	+	1869
rbsD	NC_000913.3	3933351	3933770	+	420
rbsA	NC_000913.3	3933778	3935283	+	1506
rbsC	NC_000913.3	3935288	3936253	+	966
rbsB	NC_000913.3	3936278	3937168	+	891
rbsZ	NC_000913.3	3937045	3937278	+	234
rbsK	NC_000913.3	3937294	3938223	+	930
rbsR	NC_000913.3	3938227	3939219	+	993
hsrA	NC_000913.3	3939185	3940612	-	1428
yieP	NC_000913.3	3940635	3941327	-	693
rrsC	NC_000913.3	3941808	3943349	+	1542
gltU	NC_000913.3	3943435	3943510	+	76
rrlC	NC_000913.3	3943704	3946607	+	2904
rrfC	NC_000913.3	3946700	3946819	+	120
aspT	NC_000913.3	3946872	3946948	+	77
trpT	NC_000913.3	3946957	3947032	+	76
hdfR	NC_000913.3	3947128	3947967	-	840
maoP	NC_000913.3	3948086	3948424	+	339
yifB	NC_000913.3	3948449	3949969	-	1521
ilvL	NC_000913.3	3950322	3950420	+	99
ilvX	NC_000913.3	3950507	3950557	+	51
ilvG	NC_000913.3	3950560	3952204	+	1645
ilvM	NC_000913.3	3952201	3952464	+	264
ilvE	NC_000913.3	3952484	3953413	+	930
ilvD	NC_000913.3	3953478	3955328	+	1851
ilvA	NC_000913.3	3955331	3956875	+	1545
ilvY	NC_000913.3	3956927	3957820	-	894
ilvC	NC_000913.3	3957970	3959445	+	1476
ppiC	NC_000913.3	3959532	3959813	-	282
yifN	NC_000913.3	3960012	3960460	-	449
rep	NC_000913.3	3960677	3962698	+	2022
gpp	NC_000913.3	3962745	3964229	-	1485
rhlB	NC_000913.3	3964365	3965630	-	1266
trxA	NC_000913.3	3965761	3966090	+	330
rhoL	NC_000913.3	3966231	3966332	+	102
rho	NC_000913.3	3966417	3967676	+	1260
rfe	NC_000913.3	3967916	3969019	+	1104
wzzE	NC_000913.3	3969031	3970077	+	1047
wecB	NC_000913.3	3970133	3971263	+	1131
wecC	NC_000913.3	3971260	3972522	+	1263
rffG	NC_000913.3	3972522	3973589	+	1068
rffH	NC_000913.3	3973608	3974489	+	882
rffC	NC_000913.3	3974467	3975141	+	675
wecE	NC_000913.3	3975146	3976276	+	1131
wzxE	NC_000913.3	3976278	3977528	+	1251
wecF	NC_000913.3	3977525	3978604	+	1080
wzyE	NC_000913.3	3978601	3979953	+	1353
rffM	NC_000913.3	3979956	3980696	+	741
yifK	NC_000913.3	3980887	3982272	+	1386
argX	NC_000913.3	3982375	3982451	+	77
hisR	NC_000913.3	3982509	3982585	+	77
leuT	NC_000913.3	3982606	3982692	+	87
proM	NC_000913.3	3982735	3982811	+	77
aslB	NC_000913.3	3982958	3984193	+	1236
aslA	NC_000913.3	3984352	3986007	-	1656
glmZ	NC_000913.3	3986432	3986603	+	172
hemY	NC_000913.3	3986686	3987882	-	1197
hemX	NC_000913.3	3987885	3989066	-	1182
hemD	NC_000913.3	3989088	3989828	-	741
hemC	NC_000913.3	3989825	3990766	-	942
cyaA	NC_000913.3	3991153	3993699	+	2547
cyaY	NC_000913.3	3993739	3994059	-	321
yzcX	NC_000913.3	3993850	3994335	+	486
yifL	NC_000913.3	3994522	3994725	+	204
dapF	NC_000913.3	3994762	3995586	+	825
yigA	NC_000913.3	3995583	3996290	+	708
xerC	NC_000913.3	3996287	3997183	+	897
yigB	NC_000913.3	3997183	3997899	+	717
uvrD	NC_000913.3	3997983	4000145	+	2163
yigE	NC_000913.3	4000292	4001056	-	765
ysgD	NC_000913.3	4001218	4001274	+	57
corA	NC_000913.3	4001426	4002376	+	951
yigF	NC_000913.3	4002419	4002799	-	381
yigG	NC_000913.3	4002813	4003193	-	381
rarD	NC_000913.3	4003288	4004178	-	891
yigI	NC_000913.3	4004230	4004697	-	468
pldA	NC_000913.3	4004862	4005731	+	870
recQ	NC_000913.3	4005864	4007693	+	1830
rhtC	NC_000913.3	4007757	4008377	+	621
rhtB	NC_000913.3	4008439	4009059	-	621
pldB	NC_000913.3	4009170	4010192	+	1023
yigL	NC_000913.3	4010200	4011000	+	801
bioP	NC_000913.3	4011076	4011975	+	900
metR	NC_000913.3	4011863	4012816	-	954
metE	NC_000913.3	4013053	4015314	+	2262
ysgA	NC_000913.3	4015354	4016169	-	816
udp	NC_000913.3	4016431	4017192	+	762
rmuC	NC_000913.3	4017333	4018760	+	1428
ubiE	NC_000913.3	4018855	4019610	+	756
ubiJ	NC_000913.3	4019624	4020229	+	606
esrE	NC_000913.3	4019978	4020229	+	252
ubiB	NC_000913.3	4020226	4021866	+	1641
tatA	NC_000913.3	4021945	4022214	+	270
tatB	NC_000913.3	4022218	4022733	+	516
tatC	NC_000913.3	4022736	4023512	+	777
tatD	NC_000913.3	4023554	4024336	+	783
rfaH	NC_000913.3	4024333	4024821	-	489
ubiD	NC_000913.3	4024988	4026481	+	1494
fre	NC_000913.3	4026527	4027228	+	702
fadA	NC_000913.3	4027609	4028772	-	1164
fadB	NC_000913.3	4028782	4030971	-	2190
pepQ	NC_000913.3	4031161	4032492	+	1332
yigZ	NC_000913.3	4032492	4033106	+	615
trkH	NC_000913.3	4033145	4034596	+	1452
hemG	NC_000913.3	4034608	4035153	+	546
rrsA	NC_000913.3	4035531	4037072	+	1542
ileT	NC_000913.3	4037141	4037217	+	77
alaT	NC_000913.3	4037260	4037335	+	76
rrlA	NC_000913.3	4037519	4040423	+	2905
rrfA	NC_000913.3	4040517	4040636	+	120
mobB	NC_000913.3	4040906	4041433	-	528
mobA	NC_000913.3	4041415	4041999	-	585
yihD	NC_000913.3	4042069	4042338	+	270
srkA	NC_000913.3	4042415	4043401	+	987
dsbA	NC_000913.3	4043418	4044044	+	627
yihF	NC_000913.3	4044199	4045629	+	1431
